aback                                    смущенный,захваченный врасплох
accredit                                 уполномочивать,аккредитовать (посла),приписывать (кому либо)
accretion                                прирост,нанос земли (геол)
accrue                                   проистекать,нарастать (особ о процентах)
accumulate                               накапливать
accumulation                             накопление
accumulator                              стяжатель,аккумулятор
accumulator                              сумматор; накапливающий регистр
accumulator register                     сумматор, накапливающий регистр
accuracy                                 точность
accuracy                                 точность,пунктуальность
accurate                                 точный,правильный,меткий
accursed                                 проклятый,злополучный,отвратительный
accusation                               обвинение
accusative                               винительный падеж (грам)
accuse                                   обвинять,порицать
accustom                                 приучать
accustomed                               привычный,обычный
ace                                      очко,туз (карт),отличный летчик,ас
ache                                     боль (ноющая),болеть,ныть
achieve                                  достигать,выполнять
achievement                              достижение,выполнение
acid                                     кислый,кислота
acidify                                  окислять,окисляться
acidity                                  кислота,едкость
acidulous                                кисловатый
acknowledge                              признавать,подтверждать получение (письма,пакета), квитировать; отблагодарить;
acknowledged connectionless operation    квитируемая связь без установления логического соединения
acknowledgement                          признание,расписка,благодарность;подтверждение приема, квитирование; подтверждение
acme                                     высшая точка,кульминационный пункт
acorn                                    желудь
acoustic                                 акустический
acoustic modem                           акустический модем
acoustics                                акустика
acquaint                                 знакомить
acquaintance                             знакомый,знакомство
acquiesce                                неохотно соглашаться
acquiescence                             вынужденное согласие,покорность
acquiescent                              податливый,покорный
acquire                                  приобретать,получать,достигать
acquisition                              приобретение; сбор, накопление
acquit                                   оправдывать,освобождать (от обязательств)
acquittal                                оправдание
acre                                     акр
acreage                                  площадь в акрах
acrid                                    острый (о вкусе,запахе),резкий (о характере)
acrimony                                 острота,едкость
acrobat                                  акробат
acrobatics                               акробатика
across                                   через,сквозь,поперек
act I                                    акт,закон,поступок,театр действие,документ,действовать,поступать
act II                                   вести себя,играть (на сцене)
acting                                   действующий,временно исполняющий обязанности
action                                   действие,поступок,деятельность,иск,дело,сражение; работа,влияние
activate                                 активировать, вызывать
activation                               активация, вызов
activation frame                         запись активации
activation record                        запись активации
active                                   активный,деятельный,энергичный
active                                   активный=выполняемый или используемый в данный момент
active domain                            активный домен
active file                              открытый файл, используемый в данный момент какой-либо задачей
active job                               текущее задание(см. active task)
active star                              активная звезда
active task                              текущая задача
active value                             активная переменная
activity                                 1. транзакция, обработкта запроса 2.коэффициент активности файла 3. процесс
activity                                 деятельность,активность,энергия
actor                                    актер
actress                                  актриса
actual                                   фактический
actual I                                 текущий,современный,фактический,истинный
actual II                                действительный,настоящий
actual address                           1. исполнительный адрес(см. effective address) 2. абсолютный адрес(см. absolute address)
actual argument                          фактический параметр(см. actual parameter)
actual decimal point                     реальная запятая, явная запятая
actual derived data item                 реальный производный элемент данных
actual parameter                         фактический параметр
actual result data item                  элемент данных - реальный результат
actual source data item                  элемент данных - реальная копия источника
actual storage                           физическая память(см. physical storage)
actually                                 фактически,в настоящее время,в данный момент
actuate                                  приводить в движение,побуждать
actuator                                 привод головок
acumen                                   прницательность
acute                                    острый,проницательный,сообразительный,пронзительный,резкий
acuteness                                острота,сообразительность,пронзительность
acyclic graph                            (ориентированный) граф без петель
ad hoc                                   на данный случай,специальный
ad hoc query                             незапланированный запрос
adamant                                  твердый,непреклонный
adapt                                    приспособлять,адаптировать
adaptability                             адаптивность
adaptability                             применимость
adaptation                               приспособление,адаптация,применение,обработка,переделка
adapter                                  адаптер(см. device adapter)
adaptive channel allocation              динамическое мультиплексирование, динамическое распределение каналов
adaptive dialog                          адаптивный диалог
adaptive routing                         адаптивная маршрутизация
add                                      складывать,прибавлять,присоединять
add time                                 время сложения
add-in                                   расширение(см. add-on)
add-in memory                            дополнительная память
add-on                                   расширение
add-on products                          дополнительные специализированные инструментальные средства
addend                                   2-ое слагаемое(прибавляемая величина)
addendum                                 приложение (к книге)
adder                                    гадюка,уж (амер)
adder                                    сумматор=устройство, вычисляющее сумму
addict                                   наркоман
addicted                                 склонный (обыкн к дурному)
addiction                                наркомания
adding                                   сложение
addis ababa                              аддис-абеба
addition                                 сложение
addition                                 сложение (мат),прибавление,дополнение
addition record                          добавляемая запись
additional                               добавочный,дополнительный
additive operator                        операция типа сложения, аддитивная операция
addled                                   испорченный (о яйце)
address                                  адрес,обращение,речь,такт,ловкость,направлять,адресовать
address (addr)                           адрес, адресовать
address alignment                        выравнивание адреса
address arithmetic                       адресная арифметика (address computation)
address bus                              шина адреса, адресная шина
address computation                      вычисление исполнительного адреса
address field                            поле адреса
address mapping                          отображение адресов
address mark                             метка адреса, маркер адреса
address register                         регистр адреса
address relocation                       настройка адресов(см. relocation)
address space                            адресное пространство
addressability                           адресуемость
addressable point                        адресуемая точка=в машинной графике - любая точка пространства устройства
addressed memory                         адресуемая память
addressee                                адресат
addressing                               адресация, указание объекта в сети ЭВМ
addressing mode                          способ адресации
addressing unit                          минимальный адресуемый элемент памяти
adduce                                   представлять,приводить (доказательство)
aden                                     аден
adept                                    сведущий,способный,ловкий,знаток,эксперт
adequacy                                 соразмерность,соответствие,достаточность
adequate                                 отвечающий требованиям,адекватный,достаточный
adhere I                                 прилипать,придерживаться чего либо
adhere II                                оставаться верным (принципам и т д)
adherence                                приверженность
adherent                                 приверженец
adhesion                                 прилипание
adhesive                                 липкий,клей
adieu                                    прщай (те),прощание
adipose                                  жировой,жирный
adjacency                                соседство
adjacency matrix                         матрица смежности (incidence matrix)
adjacent                                 смежный,соседний
adjective                                имя прилагательное (грам)
adjoin                                   примыкать,быть смежным
adjourn                                  отсрочивать,объявлять перерыв
adjournment                              отсрочка,перерыв
adjudge                                  выносить решение,приговор,присуждать премию (и т п)
adjudicator                              член жюри (конкурса и т п)
adjunct                                  приложение
adjure                                   молить,заклинать
adjust I                                 приводить в порядок,приспособлять,прилаживать,регулировать
adjust II                                выверять,устанавливать
adjustable array                         массив с переменными границами
adjustment                               регулирование,регулировка
adjutant                                 адъютант
administer I                             управлять,давать (лекарство и т п),снабжать
administer II                            отправлять (правосудие)
administration                           администрация,правительство
administrative                           административный,исполнительный
administrator                            администратор
admirable                                превосходный,восхитительный
admiral                                  адмирал
admiralty                                военно морское министерство (великобритания)
admiration                               восхищение
admire                                   любоваться (чем либо),восхищаться (чем либо)
admirer                                  поклонник
admissible                               допустимый,приемлемый
admission                                вход,принятие,признание
admit                                    допускать(к чему-то),принимать,вмещать (о помещении),признавать
admittance                               доступ
admittedly                               как признано
admixture                                примесь
admonish                                 увещевать,предостерегать
admonition                               предостережение,упрек,нарекание
adolescence                              юность
adolescent                               юноша,юношеский
adopt                                    усыновлять,принимать,усваивать,заимствовать
adoption                                 усыновление,принятие,заимствование
adoptive                                 приемный
adorable                                 обожаемый,восхитительный
adoration                                обожание,поклонение
adore                                    очень любить,поклоняться
adorn                                    украшать
adornment                                украшение
adriatic sea                             адриатическое море
adrift                                   по течению,по воле волн
adroit                                   ловкий,находчивый,искусный
adulation                                лесть
adulatory                                льстивый
adult                                    взрослый
adulterate                               фальсифицировать (продукт)
adulterer                                совершивший прелюбодеяние
adultery                                 супружеская измена
advance I                                продвигаться,повышаться (в должности),продвигаться вперед
advance II                               аванс,ссуда,успех,выдвигать (предложение)
advance III                              наступать,продвигать,повышать (в должности),повышение (цен)
advance IV                               повышаться (о ценах),платить авансом,продвижение
advance guard                            авангард
advanced                                 передовой (об идеях и т п),выдвинутый,продвинутый (об учащемся)
advancement                              прогресс,успех
advantage                                выигрыш,соотношение,выгода,польза,преимущество
advantageous                             выгодный,благоприятный
advent                                   приход,наступление
adventitious                             случайный
adventure                                приключение,авантюра,рисковать
adventurous                              смелый,отважный,предприимчивый
adverb                                   наречие (грам)
adverbially                              в функции обстоятельства,в качестве наречия (грам)
adversary                                противник
adverse                                  враждебный,противоположный,неблагоприятный
adversity                                несчастье,напасти
advertise                                помещать объявление,рекламировать
advertisement                            объявление,реклама
advice                                   совет
advisable                                (благо)разумный
advise                                   советовать,уведомлять
advisedly                                намеренно
advisory                                 совещательный,консультативный
advocacy                                 защита
advocate                                 защитник,сторонник,защищать,проповедовать
aegean sea                               эгейское море
aerate                                   газировать
aerial                                   воздушный,антенна
aerobatics                               высший пилотаж,фигурные полеты
aerodrome                                аэродром
aerodynamics                             аэродинамика
aeronautics                              воздухоплавание
aeroplane                                самолет
aesthete                                 эстет
aesthetic                                эстетический
aesthetics                               эстетика
afar                                     далеко
affability                               приветливость
affable                                  приветливый,любезный,вежливый
affair                                   дело,роман,связь
affect                                   воздействовать,трогать,поражать,притворяться
affectation                              притворство,аффектация
affected                                 деланный,неискренний,пораженный
affection                                любовь,болезнь
affidavit                                письменное показание под присягой
affiliate                                присоединять
affiliation                              присоединение
affinity                                 родственность,сходство,близость,влечение,сродство (хим)
affirm                                   утверждать,подтверждать
affirmation                              утверждение
affirmative                              утвердительный
affix                                    прикреплять,ставить,аффикс (грам)
afflict                                  огорчать,причинять страдания, тревожить
affliction                               огорчение,недуг,несчастье
affluence                                изобилие,обилие
affluent                                 обильный,богатый,приливающий,приток (реки)
afford                                   быть в состоянии позволить себе что либо,приносить,давать
afforest                                 засадить лесом
afforestation                            облесение,лесонасаждение
affray                                   драка
affront                                  оскорбление,оскорблять
afghanistan                              афганистан
afire                                    в огне
aflame                                   в огне
afloat                                   на воде,на поверхности,в ходу,в разгаре
afoot                                    пешком
aforesaid                                вышеупомянутый
afraid                                   испуганный
afresh                                   снова,заново
africa                                   африка
african                                  африканский,африканец
aft                                      на корме,за кормой
after                                    после того как,за,позади,после,спустя,по,согласно,последующий
after effect                             последствие
after-look journal                       журнал изменений
afterglow                                вечерняя заря
aftermath                                последствие
afternoon                                время после полудня
afterthought                             мысль,пришедшая слишком поздно
afterwards                               потом,позже,впоследствие
again                                    снова,опять,с другой стороны,кроме того
against                                  против,на,с,к
agape                                    разинув рот (от удивления,при зевоте)
agate                                    агат
age I                                    срок службы,выдерживать,тренировать ( электрон),возраст,старость
age II                                   век,эпоха,долгий срок,вечность,стареть,старить
aged I                                   пожилой,достигший (такого то) возраста
aged II                                  подвергшийся (подвергнутый) старению,выдержанный,тренированный (эл)
agency                                   агентство,содействие,посредничество
agenda                                   повестка дня
agent                                    действующий,агент,посредник,действующая сила,фактор
agglomerate                              собираться,скопляться,собирать
aggrandize                               увеличивать (мощь,благосостояние страны),повышать (в ранге)
aggravate                                отягчать,ухудшать,раздражать,надоедать
aggravating                              досадный,раздражающий
aggravation                              ухудшение,обострение
aggregate                                агрегат, составное значение, агрегировать, объединять, составной
aggregate                                собирать вместе,собранный вместе,совокупность
aggregated data                          агрегированное значение, укрупненный показатель
aggregation                              агрегация
aggression                               нападение,агрессия
aggressive                               агрессивный,нападающий
aggressor                                агрессор,зачинщик
aggrieve                                 огорчать,обижать
aghast                                   пораженный ужасом,ошеломленный
agile                                    подвижный,проворный
agility                                  подвижность,ловкость
agitate                                  волновать,возбуждать,мешать,перемешивать,агитировать
agitation                                агитация
ago                                      тому назад
agonize                                  мучить,мучиться,быть в агонии
agonizing                                мучительный
agony                                    сильнейшая боль,агония,страдание
agrarian                                 аграрный,аграрий
agree                                    соглашаться,соответствовать
agreeable                                приятный,согласный
agreement                                соглашение,договор,согласие
agricultural                             сельскохозяйственный
agriculture                              сельское хозяйство
agriculturist                            агроном
agronomical                              агрономический
agronomics                               агрономия
